iter	Logloss
0	0.6569988191
1	0.6280265206
2	0.5994847968
3	0.5744053262
4	0.553322781
5	0.5339226588
6	0.5151556036
77	0.5012734019
8	0.4849127866
9	0.4708292123
10	0.4589693927
11	0.4473624876
12	0.4368281494
13	0.4277270968
14	0.4181654751
15	0.4113033183
16	0.404921431
17	0.3981273585
18	0.3922330111
19	0.3876030706
20	0.3826441543
21	0.3777977958
22	0.3734965293
23	0.3696255561
24	0.3662655457
25	0.362695538
26	0.3606627983
27	0.3577048343
28	0.3546514348
29	0.3524791866
30	0.350261665
31	0.348149129
32	0.3458496644
33	0.3438816917
34	0.3422997481
35	0.3404588829
36	0.3382105622
37	0.336698487
38	0.3349916373
39	0.3333982416
40	0.3322178927
41	0.3310451971
42	0.3299375703
43	0.3287999081
44	0.3275337789
45	0.3265711014
46	0.3254855043
47	0.3246765105
48	0.323755846
49	0.3231367982
50	0.3223281658
51	0.3214984658
52	0.320766136
53	0.3202917788
54	0.3194868069
55	0.3189114171
56	0.3180705355
57	0.3173110063
58	0.3167566434
59	0.3160207764
60	0.3152843289
61	0.3147852849
62	0.3141577204
63	0.3136258824
64	0.3130738726
65	0.3126380812
66	0.312124827
67	0.3116566577
68	0.3112513989
69	0.310771647
70	0.3101249466
71	0.3096281374
72	0.3091565096
73	0.3088338908
74	0.3085329955
75	0.3082803513
76	0.3076409535
77	0.3073281037
78	0.3070036306
79	0.306629848
80	0.3062603203
81	0.3058971121
82	0.3055751017
83	0.3050637963
84	0.3046772409
85	0.3044768558
86	0.3040254047
87	0.3036353798
88	0.3032838726
89	0.3030078937
90	0.302671589
91	0.3023528871
92	0.3021374359
93	0.3019178444
94	0.3015837157
95	0.3012966188
96	0.3010810133
97	0.3005723025
98	0.300390861
99	0.3000605392
100	0.2998077887
101	0.299684493
102	0.2994758141
103	0.2992902584
104	0.2990640696
105	0.2987529694
106	0.2985286473
107	0.2979967581
108	0.2977440431
109	0.2974340468
110	0.2971853175
111	0.297043681
112	0.2969004929
113	0.2967109772
114	0.2965541458
115	0.2963146021
116	0.296116576
117	0.295948842
118	0.295565921
119	0.2953753116
120	0.2952499674
121	0.2951247842
122	0.2949687347
123	0.2948378996
124	0.2946155147
125	0.2944337765
126	0.2942738843
127	0.2941089118
128	0.2938163301
129	0.2936359579
130	0.2934744886
131	0.2933204874
132	0.2931625111
133	0.2929966964
134	0.2928294795
135	0.2926443859
136	0.2925087947
137	0.2921448886
138	0.2916794128
139	0.2915474172
140	0.2913397438
141	0.2912042104
142	0.2910369841
143	0.2908483545
144	0.2907123553
145	0.2905815515
146	0.2904664614
147	0.2903257502
148	0.29016447
149	0.2900196086
150	0.2898939954
151	0.2895896284
152	0.2894516289
153	0.2893125046
154	0.2892223842
155	0.2892005339
156	0.2890618898
157	0.2886341783
158	0.2882126762
159	0.288055766
160	0.2879788652
161	0.2878564311
162	0.2876885402
163	0.2875529251
164	0.2874131915
165	0.2871814166
166	0.2870784812
167	0.286995108
168	0.286871658
169	0.2867256849
170	0.2865184217
171	0.2863233471
172	0.2861989054
173	0.286098422
174	0.2859549205
175	0.2858648115
176	0.285760239
177	0.2856224937
178	0.2851554006
179	0.2850455954
180	0.284927004
181	0.2848389121
182	0.2847661906
183	0.2846875211
184	0.2843973517
185	0.2842606541
186	0.2841248739
187	0.283980441
188	0.2838498351
189	0.2837611646
190	0.2836594826
191	0.2835345649
192	0.283386507
193	0.2833101926
194	0.2831108739
195	0.2830424734
196	0.2829202714
197	0.2828455483
198	0.2827067152
199	0.2826304844
200	0.2825591402
201	0.2824790355
202	0.2823507851
203	0.282026076
204	0.2819367237
205	0.2818187567
206	0.2817096176
207	0.2816318362
208	0.2815297246
209	0.2814353301
210	0.2813086649
211	0.2811951402
212	0.281117567
213	0.2810508653
214	0.2809164293
215	0.2807487542
216	0.2806642692
217	0.2806251505
218	0.2805407353
219	0.2804223297
220	0.2802912602
221	0.280061687
222	0.2799515444
223	0.2798882941
224	0.2798177015
225	0.2796852647
226	0.279547283
227	0.2794858112
228	0.2793977049
229	0.2793579424
230	0.2792497314
231	0.2791260747
232	0.2790276014
233	0.2789500961
234	0.2788816133
235	0.2788095595
236	0.2786354331
237	0.27857907
238	0.2785002049
239	0.2783767087
240	0.2782932444
241	0.2782232758
242	0.2781544073
243	0.278064204
244	0.2779027345
245	0.2778117201
246	0.2778074209
247	0.2777369669
248	0.2776180011
249	0.2775090636
250	0.2774180646
251	0.2773337268
252	0.2772407539
253	0.277154101
254	0.2770675374
255	0.276943397
256	0.2768977282
257	0.2768943295
258	0.2768304903
259	0.2767576378
260	0.2766739849
261	0.2764376708
262	0.2763522218
263	0.276243181
264	0.2761544597
265	0.276081403
266	0.2760174987
267	0.2759400493
268	0.2758927025
